Rank,Player,GP,MSR,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
1,Hugo González,3,23.81,34.7,18.3,4.7,14.7,31.8,2.3,9,25.9,4,5,80,1.3,6.7,8,5.7,3.7,1.7,0.3,4,11,
2,Labaron Philon,4,19.76,32,18.5,7.3,19,38.2,2,7.8,25.8,1.3,2,62.5,0.8,2.8,3.5,5.8,2.5,1.5,0.3,1,-5,
3,Ryan Nembhard,2,16.91,31.7,13.5,4.5,13,34.6,0.5,4,12.5,2,2.5,80,0,2.5,2.5,8,3.5,1,0.5,3,-19,
4,Bruce Thornton,4,25.19,31.5,21.3,6.3,14.3,43.9,2.8,6.3,44,3.5,4.8,73.7,0.8,3,3.8,3.8,1.8,3,0,2.8,12,
5,Tre Donaldson,4,21.66,31.3,16.3,6.8,12.8,52.9,1.8,4,43.8,0.8,1.5,50,1,3.5,4.5,6.8,3,1.8,0.3,2,3,
6,Chaz Lanier,5,25.79,31,17.4,5.8,12.4,46.8,4.6,9,51.1,0.8,0.8,100,0.4,2,2.4,2.4,1.2,0.8,0.2,1.8,-2,
7,Kobe Sanders,4,23.31,30.6,16.3,5.5,12.8,43.1,1.5,6,25,2,2,100,1.5,3.3,4.8,4,2,1.8,0,3.5,-2,
8,Ebuka Okorie,5,21.38,30.4,18.6,6.4,17.6,36.4,0.8,4.6,17.4,3,3.4,88.2,0.8,2.6,3.4,4.4,2.6,2.4,0.2,3,-2,
9,Morez Johnson,2,22.2,30.3,18.5,8,12.5,64,0.5,2.5,20,1.5,2,75,1.5,5,6.5,1.5,1.5,2.5,3,7,-11,
10,Kobe Bufkin,3,24.11,30.2,21.3,6.3,14,45.2,2.3,7.3,31.8,4.3,5.3,81.3,1,4.3,5.3,3,3.7,2,1,3.7,-2,
11,Jase Richardson,3,27.26,30.1,18.3,6.7,12.3,54.1,2.3,4.7,50,1.7,1.7,100,1,2.7,3.7,4.7,2.3,1.7,0,2.7,2,
12,Zyon Pullin,5,23.74,30,21,5.2,12.2,42.6,1,2.8,35.7,5.8,7,82.9,1,3.6,4.6,7.8,3,1,0.4,1.8,-2,
13,Isaiah Crawford,4,24.51,29.8,16,4.8,13,36.5,2,6.3,32,2.8,3,91.7,2.5,3.8,6.3,2.8,2,1,2.3,4.3,12,
14,KJ Simpson,2,22.15,29.6,18,5,14,35.7,1.5,6,25,4.5,5.5,81.8,1,2,3,6.5,4.5,1,0.5,5,1,
15,Noah Penda,3,27.19,29.4,15,4.7,8.3,56,2.7,5.7,47.1,2,2,100,1.7,5,6.7,3.3,2.3,1.7,2.7,3,2,
16,Quadir Copeland,4,23.41,29.3,10.5,3.3,6.3,52,1,1.8,57.1,1.8,2.8,63.6,1.3,2.8,4,3,2,2.8,0,6,12,
17,Tre White,4,26.23,29.2,17.3,5.3,12,43.8,3,7.5,40,2.3,2.3,100,1.3,4.5,5.8,2.8,0.5,1.8,0.3,0.8,11,
18,Nae'Qwan Tomlin,2,23.81,29.2,18.5,7.5,12,62.5,1.5,3.5,42.9,1,1.5,66.7,1.5,4.5,6,3.5,2,2,2.5,3.5,-5,
